sku,category,name,description
1939418,Default Category/Computers & Peripherals/Computer Accessories/Screen Privacy Covers & Protectors,"Insten 1 x Colorful Diamond Screen Protector LCD Film For iPhone 6S Plus / 6 Plus 5.5""","Insten 1 x Colorful Diamond Screen Protector LCD Film For iPhone 6S Plus / 6 Plus 5.5"""
1926069,Default Category/Computers & Peripherals/Computer Accessories/Screen Privacy Covers & Protectors,Insten 1 x Mirror Screen Protector Anti-Scratch LCD Film Guard For iPhone 6 6S 4.7 inch,Insten 1 x Mirror Screen Protector Anti-Scratch LCD Film Guard For iPhone 6 6S 4.7 inch
1939416,Default Category/Computers & Peripherals/Computer Accessories/Screen Privacy Covers & Protectors,"Insten 1 x Mirror Screen Protector Guard For iPhone 6S Plus / 6 Plus 5.5""","Insten 1 x Mirror Screen Protector Guard For iPhone 6S Plus / 6 Plus 5.5"""
1975556,Default Category/Computers & Peripherals/Computer Accessories/Screen Privacy Covers & Protectors,Insten 1 x Mirror Screen Protector LCD Guard Film For Samsung Galaxy Note 4 IV N9100,Insten 1 x Mirror Screen Protector LCD Guard Film For Samsung Galaxy Note 4 IV N9100
1926066,Default Category/Computers & Peripherals/Computer Accessories/Screen Privacy Covers & Protectors,Insten 1 x Premium Tempered Glass Screen Protector LCD Film Guard For iPhone 6 6S 4.7 inch,Insten 1 x Premium Tempered Glass Screen Protector LCD Film Guard For iPhone 6 6S 4.7 inch
1939417,Default Category/Computers & Peripherals/Computer Accessories/Screen Privacy Covers & Protectors,"Insten 1 x Privacy Filter Screen Protector LCD Guard Film For Apple iPhone 6S Plus / 6 Plus 5.5"" 5.5 Inches","Insten 1 x Privacy Filter Screen Protector LCD Guard Film For Apple iPhone 6S Plus / 6 Plus 5.5"" 5.5 Inches"
1926070,Default Category/Computers & Peripherals/Computer Accessories/Screen Privacy Covers & Protectors,Insten 1 x Privacy Screen Protector Anti-Scratch LCD Film Guard For Apple iPhone 6 6S 4.7 inch,Insten 1 x Privacy Screen Protector Anti-Scratch LCD Film Guard For Apple iPhone 6 6S 4.7 inch
2063783,Default Category/Home Audio & Theatre/Audio/Audio Components,Insten 1.5' High Speed Mini HDMI to HDMI Cable with Ethernet (Type C to Type A) 1.5ft,Insten 1.5' High Speed Mini HDMI to HDMI Cable with Ethernet (Type C to Type A) 1.5ft
1931198,Default Category/Computers & Peripherals/Computer Components/Cables,Insten 1.5FT 46CM SATA 3.0 III SATA3 SATAIII High Speed 6GB/s Data Cable Right Angle 90 Degree Cord Blue,Insten 1.5FT 46CM SATA 3.0 III SATA3 SATAIII High Speed 6GB/s Data Cable Right Angle 90 Degree Cord Blue
360177,Default Category/Computers & Peripherals/Computer Components/Cables,"Insten 1/4-inch Straight to Right Angle Guitar Patch Cable M / M 10FT, Black","Insten 1/4-inch Straight to Right Angle Guitar Patch Cable M / M 10FT, Black"
2123484,Default Category/Phones & Accessories/Cell Phone Accessories,Insten 1:1 Dummy Display Phone Sample Model For Samsung galaxy S6 Edge G925 Black,Insten 1:1 Dummy Display Phone Sample Model For Samsung galaxy S6 Edge G925 Black
2123483,Default Category/Phones & Accessories/Cell Phone Accessories,Insten 1:1 Dummy Display Phone Sample Model For Samsung galaxy S6 Edge G925 White,Insten 1:1 Dummy Display Phone Sample Model For Samsung galaxy S6 Edge G925 White
1489352,Default Category/Computers & Peripherals/Computer Components/Cables,Insten 10' 10FT 3M Blue Micro USB Cable Charger for ZTE Valet Majesty Sawy Grand Blade ZMax / Huawei Ascend Plus H881C Tribute Fusion 3 / HTC One M7 M8 M9 Desire 510 610 / Alcatel One Touch Evolve 2,Insten 10' 10FT 3M Blue Micro USB Cable Charger for ZTE Valet Majesty Sawy Grand Blade ZMax / Huawei Ascend Plus H881C Tribute Fusion 3 / HTC One M7 M8 M9 Desire 510 610 / Alcatel One Touch Evolve 2
1489345,Default Category/Computers & Peripherals/Computer Components/Cables,Insten 10' 3M Black Micro USB Data Sync Charge Cable for Samsung Galaxy S6 S5 S4 Note 5 4 3 Mega Edge Plus/Motorola Nexus 5 Moto G E X/ZTE Majesty Z796C Zmax/Alcatel One Touch Sonic Fierce Evolve 2,Insten 10' 3M Black Micro USB Data Sync Charge Cable for Samsung Galaxy S6 S5 S4 Note 5 4 3 Mega Edge Plus/Motorola Nexus 5 Moto G E X/ZTE Majesty Z796C Zmax/Alcatel One Touch Sonic Fierce Evolve 2
